t_ms,raw_ldr,raw_lm35,raw_pot
500,837,40,141
1000,837,37,137
1500,837,40,139
2000,840,38,138
2500,839,38,137
3000,1001,38,137
3500,1001,46,137
4000,1003,41,139
4500,1002,40,142
5000,996,45,138
5500,869,39,139
6000,843,36,136
6500,380,36,137
7000,231,45,138
7500,149,42,140
8000,114,46,139
8500,94,45,140
9000,78,46,141
9500,69,40,139
10000,67,44,167
10500,65,42,315
11000,58,41,499
11500,56,44,650
12000,53,45,705
12500,54,49,808
13000,56,50,1013
13500,54,51,1021
14000,54,52,1023
14500,51,56,1022
15000,54,50,1023
15500,50,56,1014
16000,45,56,891
16500,47,52,752
17000,50,52,637
17500,46,59,630
18000,606,69,459
18500,811,81,269
19000,813,79,44
19500,816,64,0
20000,817,56,1
20500,678,57,0
21000,316,49,0
21500,133,57,0
22000,103,61,0
22500,86,57,0
23000,78,61,0
23500,76,57,130
24000,821,73,377
24500,830,74,512
25000,794,39,895
25500,830,43,1023
26000,850,43,1021
26500,431,58,1022
27000,389,58,1022
27500,367,56,987
28000,367,58,674
28500,360,55,276
29000,450,52,0
29500,999,44,0
30000,1004,42,0
30500,1012,42,0
31000,981,43,2
31500,1018,42,0
32000,1023,40,0
32500,1018,41,0
33000,975,42,0
33500,855,42,0
34000,853,43,0
34500,852,41,0
35000,851,41,0
35500,847,40,1
36000,847,43,1
36500,845,42,0
37000,845,39,0
37500,848,42,0
38000,849,42,0
38500,827,42,0
39000,858,39,0
39500,857,43,1
40000,861,38,0
40500,862,42,0
41000,860,41,1
41500,859,38,1
42000,863,40,1
42500,862,44,0
43000,862,37,0
43500,865,38,0
44000,671,39,0
44500,496,48,1
45000,247,54,0
45500,219,51,0
46000,224,54,0
46500,224,54,0
47000,223,50,1
47500,226,55,0
48000,845,36,0
48500,747,34,0
49000,703,36,0
49500,829,49,0
50000,824,44,0
50500,827,59,0
51000,826,72,0
51500,825,73,0
52000,826,94,0
52500,822,84,0
53000,823,74,0
53500,822,67,0
54000,819,62,0
54500,820,53,0
55000,827,63,0
55500,823,76,0
56000,826,93,0
56500,827,89,0
57000,830,74,0
57500,829,78,1
58000,830,77,0
58500,829,65,0
59000,830,71,0
59500,831,71,0
60000,830,71,0
60500,830,92,122
61000,832,89,173
61500,830,91,173
62000,835,78,176
62500,833,69,172
63000,829,63,174
63500,833,75,173
64000,833,69,170
64500,829,73,174
65000,830,84,172
65500,832,89,172
66000,834,85,173
66500,829,81,173
67000,833,80,175
67500,833,74,172
68000,834,73,173
68500,833,66,173
69000,832,69,173
69500,834,77,174
70000,833,90,173
