V_DAC_V,V_A1_V,V_LED_V,I_mA
0.0000,0.0000,0.0000,0.0000
0.1221,0.0000,0.1221,0.0000
0.2442,0.0000,0.2442,0.0000
0.3663,0.0000,0.3663,0.0000
0.4884,0.0000,0.4884,0.0000
0.6105,0.0000,0.6105,0.0000
0.7326,0.0000,0.7326,0.0000
0.8547,0.0049,0.8498,0.0222
0.9768,0.0000,0.9768,0.0000
1.0989,0.0000,1.0989,0.0000
1.2210,0.0000,1.2210,0.0000
1.3431,0.0000,1.3431,0.0000
1.4652,0.0000,1.4652,0.0000
1.5873,0.0000,1.5873,0.0000
1.7094,0.0000,1.7094,0.0000
1.8315,0.0000,1.8315,0.0000
1.9536,0.0000,1.9536,0.0000
2.0757,0.0049,2.0708,0.0222
2.1978,0.0342,2.1636,0.1555
2.3199,0.1173,2.2026,0.5332
2.4420,0.1857,2.2563,0.8442
2.5641,0.2688,2.2953,1.2219
2.6862,0.3568,2.3294,1.6218
2.8083,0.4448,2.3635,2.0217
2.9304,0.5425,2.3879,2.4660
3.0525,0.6452,2.4073,2.9326
3.1746,0.7429,2.4317,3.3769
3.2967,0.8407,2.4560,3.8212
3.4188,0.9335,2.4853,4.2433
3.5409,1.0313,2.5096,4.6876
3.6630,1.1388,2.5242,5.1764
3.7851,1.2414,2.5437,5.6429
3.9072,1.3392,2.5680,6.0873
4.0293,1.4370,2.5924,6.5316
4.1514,1.5298,2.6216,6.9537
4.2735,1.6422,2.6313,7.4647
4.3956,1.7449,2.6507,7.9312
4.5177,1.8133,2.7044,8.2422
4.6398,1.9257,2.7141,8.7532
4.7619,1.9257,2.8362,8.7532
4.8840,1.9257,2.9583,8.7532
FIN FSM
