t_ms,raw_ldr,raw_lm35,raw_pot
500,864,36,71
1000,867,43,68
1500,866,43,67
2000,869,37,71
2500,868,38,70
3000,851,42,71
3500,838,36,74
4000,842,38,72
4500,846,38,85
5000,842,34,183
5500,830,34,251
6000,829,34,355
6500,841,39,404
7000,838,35,406
7500,850,40,405
8000,845,37,603
8500,848,39,742
9000,847,36,746
9500,848,40,744
10000,849,40,743
10500,849,33,794
11000,851,38,990
11500,851,44,1022
12000,852,37,1023
12500,852,39,1023
13000,846,36,1023
13500,845,37,1023
14000,840,41,1021
14500,838,42,1021
15000,829,37,1023
15500,831,37,1022
16000,833,39,912
16500,831,40,0
17000,827,40,0
17500,827,39,0
18000,830,38,0
18500,834,38,1
19000,996,42,0
19500,989,42,0
20000,984,41,1
20500,988,41,0
21000,990,47,0
21500,990,49,0
22000,988,46,0
22500,990,43,0
23000,995,42,0
23500,992,45,264
24000,991,43,390
24500,994,49,388
25000,994,45,390
25500,992,46,219
26000,993,45,160
26500,991,47,94
27000,996,46,187
27500,994,41,178
28000,996,41,154
28500,988,42,153
29000,994,42,143
29500,991,41,110
30000,986,42,146
30500,989,46,145
31000,994,47,157
31500,996,46,161
32000,992,43,155
32500,991,41,148
33000,997,42,138
33500,995,45,138
34000,996,52,137
34500,991,46,149
35000,994,45,155
35500,992,47,160
36000,991,43,153
36500,993,42,142
37000,995,44,135
37500,997,45,134
38000,991,47,145
38500,997,43,151
39000,989,44,158
39500,991,44,154
40000,988,46,145
40500,995,44,136
41000,1002,48,136
41500,1001,43,138
42000,996,46,146
42500,995,41,155
43000,998,45,162
43500,974,44,135
44000,852,44,146
44500,852,41,141
45000,849,43,131
45500,852,43,119
46000,857,40,136
46500,858,40,197
47000,857,45,139
47500,857,45,83
48000,855,43,200
48500,852,45,157
49000,856,42,140
49500,860,44,158
50000,856,40,168
50500,857,36,167
51000,855,43,142
51500,858,39,127
52000,855,40,120
52500,856,40,136
53000,858,41,159
53500,857,35,171
54000,857,43,166
54500,858,42,150
55000,859,41,129
55500,851,38,117
56000,857,42,125
56500,853,39,145
57000,858,39,167
57500,857,42,167
58000,855,41,146
58500,854,38,121
59000,856,38,124
59500,861,38,128
60000,858,41,148
60500,859,42,160
61000,856,38,132
61500,853,35,164
62000,854,40,146
62500,854,40,127
63000,853,39,124
63500,852,42,125
64000,853,35,148
64500,853,37,177
65000,852,41,164
65500,846,36,150
66000,844,41,122
66500,842,35,119
67000,842,39,119
67500,843,40,139
68000,842,34,158
68500,837,39,162
69000,837,42,165
69500,837,37,130
70000,839,46,117
70500,838,39,117
71000,838,37,125
71500,845,41,165
72000,845,41,170
72500,848,40,146
73000,847,39,158
73500,847,37,130
74000,847,36,110
74500,853,37,109
75000,850,36,150
75500,857,39,163
76000,857,40,166
76500,854,40,154
77000,856,38,129
77500,856,42,113
78000,856,35,114
78500,856,40,139
79000,855,40,163
79500,855,37,163
80000,854,37,155
80500,851,42,132
81000,849,38,117
81500,856,40,111
82000,856,40,130
82500,853,37,157
83000,854,37,162
83500,854,36,163
84000,857,40,151
84500,854,36,134
85000,853,39,115
85500,851,41,109
86000,852,40,120
86500,853,35,143
87000,847,40,160
87500,847,37,156
88000,847,39,150
88500,846,31,142
89000,849,39,116
89500,852,38,117
90000,851,40,121
90500,851,40,134
91000,852,36,156
91500,844,39,157
92000,843,38,165
92500,848,39,145
93000,845,40,126
93500,845,41,132
94000,854,37,117
94500,857,40,138
95000,855,35,157
95500,853,37,160
